"","R2","f.value","p.value","Slope","Intercept","predator.lifestage","Type.of.feeding.interaction"
"1",0.34115409853576,82.3310906945515,4.19117303972473e-16,0.531028610582126,4.78378800257579,"adult","predacious/piscivorous"
"2",0.0762549666793182,1460.96633985589,3.21527852223257e-307,0.285409207488919,7.0051761355437,"adult","piscivorous"
"3",0.146129065719437,1356.94671825977,2.36661210563443e-274,0.321994355406028,7.72830989158596,"adult","predacious"
"4",0.224199133583999,45.0825287172977,3.31771921399377e-10,0.802761886290888,8.9297727419648,"adult","planktivorous"
"5",0.0715818776775047,233.384440178497,8.16786748011529e-51,0.223480124508171,8.72126450880204,"juvenile","piscivorous"
"6",0.628987013196309,3560.1792246996,0,0.932339687360748,7.13508760327197,"juvenile","predacious"
"7",0.114146688218642,155.91463158479,9.61358023701228e-34,0.323614384510346,1.43204943227198,"larva","predacious"
"8",0.0876722735852069,98.3075854003908,3.45409437932635e-22,0.204221090759678,-2.02432589747291,"larva","planktivorous"
"9",0.423997091277262,357.009636853167,4.4355222831863e-60,0.51254314845205,3.60345069079233,"larva / juvenile","predacious"
"10",0.2383099678989,36.918661170477,1.55071505486178e-08,0.537539976546299,5.08312949598501,"larva / juvenile","planktivorous"
"11",0.502262057547569,9.08180416316188,0.0146301686798566,0.652630804441673,4.96732009411791,"larva / juvenile","piscivorous"
"12",0.125577629410638,4.3083628793485,0.0465944025225441,0.384249046154572,0.946030011005037,"larva / juvenile","insectivorous"
"13",0.14416882005629,99.0513879135297,1.13623625843033e-21,0.21164969664339,1.6671459067788,"postlarva/juvenile","predacious"
"14",0.231238785388307,78.8080363840131,1.10590667174295e-16,0.675479706794872,6.81310614810303,"postlarva/juvenile","planktivorous"
"15",0.109207422360888,8.58170550266892,0.00458060708606845,0.15403834606651,-1.61375195212254,"postlarva","predacious"
"16",0.0389698693052271,1.25705314524184,0.270820006991041,0.106773528674382,-2.52746573405741,"postlarva","piscivorous"
